A69,A37,A90,A92,A91,A96,A89,A45,A53,A27,A25,A71,A77,A28,A79,A49,A65,label
0.6153104901313782,0.4720456004142761,299.065185546875,0.2551552355289459,17.633947372436523,40.48088455200195,310.95611572265625,1.0487060546875,0.47205833,1.7183187,2.5541286,0.55118674,0.46022302,0.87002295,2.690552,2.614468,0.4669414,MDD
0.5684348940849304,0.4961782395839691,187.81326293945312,0.2661844491958618,13.691594123840332,12.312332153320312,187.4597625732422,0.5870242714881897,0.61715335,0.76145315,2.556435,0.53952926,0.518753,0.8408421,2.5926886,2.631116,0.6319737,MDD
0.5894525051116943,0.4802841246128082,326.97235107421875,0.3147415220737457,18.070018768310547,15.148975372314451,326.52557373046875,0.4468937516212463,0.5498183,1.3751099,2.6166525,0.49425912,0.4529349,0.8972735,2.6214378,2.6319213,0.62531143,MDD
0.4500728845596313,0.4125890135765075,338.39849853515625,0.3036098778247833,18.38212013244629,17.742351531982422,337.9023742675781,0.5137403607368469,0.40269756,0.73029554,2.4727354,0.5050348,0.5070532,0.80070627,2.6292608,2.6288097,0.41918376,MDD
0.5383520126342773,0.354618638753891,270.280517578125,0.3031486868858337,16.426015853881836,16.91079330444336,269.81402587890625,0.4969371855258941,0.61063135,1.5168205,2.611175,0.63181454,0.57308286,0.7930774,2.6322079,2.6047797,0.5114737,MDD
0.5891739130020142,0.411998987197876,305.59185791015625,0.2710601985454559,17.47879409790039,22.39480972290039,305.5082397460937,0.4731568694114685,0.625797,0.746778,2.4935107,0.47170284,0.551095,0.88901764,2.4726124,2.628042,0.40250897,MDD
0.5564746260643005,0.3920193910598755,313.2599182128906,0.2921449840068817,17.690181732177734,17.37818717956543,312.9425354003906,0.5182294845581055,0.5346625,1.0319854,2.567886,0.5004591,0.4903915,0.8501974,2.5786884,2.6162155,0.55154985,MDD
0.4386744201183319,0.3329503834247589,291.0218505859375,0.2791202366352081,17.045040130615234,17.674484252929688,290.5334167480469,0.4630110263824463,0.59123695,0.9102984,2.597426,0.5030896,0.5130494,0.8533078,2.5486279,2.5008104,0.45095393,MDD
0.5820692181587219,0.3128432035446167,325.8182373046875,0.2850255072116852,18.05027198791504,19.521530151367188,325.8122863769531,0.4146832823753357,0.49920353,0.79747856,2.5770037,0.5968344,0.5459695,0.78350806,2.5753078,2.54955,0.56478715,MDD
0.5787191987037659,0.3570289313793182,239.7845764160156,0.2716324031352997,15.511271476745604,19.457983016967773,240.5995330810547,0.4188004434108734,0.5721544,0.90289915,2.492526,0.5180867,0.4103157,0.8388075,2.6190531,2.6193855,0.47292432,MDD
